candidate_group_id,selection_definition,n,coverage,metadata_reliability,status,major_limitations,recommended_use,unsupported_inference
RG-weccl-prompt-ARG01-v0.1,prompt_id=ARG01,133,1.0,"high (100% header coverage, manual-verified counts)",READY_FOR_VALIDATION,duplicate/flagged documents inside group: 0,same-prompt comparisons; raw/tagged/lemma variants available,proficiency/mastery/learning-gain; cross-prompt normative claims
RG-weccl-prompt-ARG02-v0.1,prompt_id=ARG02,426,1.0,"high (100% header coverage, manual-verified counts)",READY_FOR_VALIDATION,duplicate/flagged documents inside group: 2,same-prompt comparisons; raw/tagged/lemma variants available,proficiency/mastery/learning-gain; cross-prompt normative claims
RG-weccl-prompt-ARG03-v0.1,prompt_id=ARG03,87,1.0,"high (100% header coverage, manual-verified counts)",PROMISING,duplicate/flagged documents inside group: 0,same-prompt comparisons; raw/tagged/lemma variants available,proficiency/mastery/learning-gain; cross-prompt normative claims
RG-weccl-prompt-ARG04-v0.1,prompt_id=ARG04,239,1.0,"high (100% header coverage, manual-verified counts)",READY_FOR_VALIDATION,duplicate/flagged documents inside group: 2,same-prompt comparisons; raw/tagged/lemma variants available,proficiency/mastery/learning-gain; cross-prompt normative claims
RG-weccl-prompt-ARG05-v0.1,prompt_id=ARG05,192,1.0,"high (100% header coverage, manual-verified counts)",READY_FOR_VALIDATION,duplicate/flagged documents inside group: 0,same-prompt comparisons; raw/tagged/lemma variants available,proficiency/mastery/learning-gain; cross-prompt normative claims
RG-weccl-prompt-ARG06-v0.1,prompt_id=ARG06,127,1.0,"high (100% header coverage, manual-verified counts)",READY_FOR_VALIDATION,duplicate/flagged documents inside group: 0,same-prompt comparisons; raw/tagged/lemma variants available,proficiency/mastery/learning-gain; cross-prompt normative claims
RG-weccl-prompt-ARG07-v0.1,prompt_id=ARG07,177,1.0,"high (100% header coverage, manual-verified counts)",READY_FOR_VALIDATION,duplicate/flagged documents inside group: 0,same-prompt comparisons; raw/tagged/lemma variants available,proficiency/mastery/learning-gain; cross-prompt normative claims
RG-weccl-prompt-ARG08-v0.1,prompt_id=ARG08,214,1.0,"high (100% header coverage, manual-verified counts)",READY_FOR_VALIDATION,duplicate/flagged documents inside group: 0,same-prompt comparisons; raw/tagged/lemma variants available,proficiency/mastery/learning-gain; cross-prompt normative claims
RG-weccl-prompt-ARG09-v0.1,prompt_id=ARG09,154,1.0,"high (100% header coverage, manual-verified counts)",READY_FOR_VALIDATION,duplicate/flagged documents inside group: 0,same-prompt comparisons; raw/tagged/lemma variants available,proficiency/mastery/learning-gain; cross-prompt normative claims
RG-weccl-prompt-ARG10-v0.1,prompt_id=ARG10,256,1.0,"high (100% header coverage, manual-verified counts)",READY_FOR_VALIDATION,duplicate/flagged documents inside group: 0,same-prompt comparisons; raw/tagged/lemma variants available,proficiency/mastery/learning-gain; cross-prompt normative claims
