reference_group_id,group_type,n_raw,n_effective,excluded,availability,selection_criteria
RG-entry_year=2003,entry_year,68,68,0,available,"{""entry_year"": ""2003""}"
RG-entry_year=2004,entry_year,307,307,0,available,"{""entry_year"": ""2004""}"
RG-entry_year=2005,entry_year,1672,1655,17,available,"{""entry_year"": ""2005""}"
RG-entry_year=2006,entry_year,2450,2347,103,available,"{""entry_year"": ""2006""}"
RG-entry_year=2007,entry_year,453,453,0,available,"{""entry_year"": ""2007""}"
RG-genre=argumentative,genre,4680,4560,120,available,"{""genre"": ""argumentative""}"
RG-genre=expository,genre,270,270,0,available,"{""genre"": ""expository""}"
RG-grade=1,grade,1549,1446,103,available,"{""grade"": ""1""}"
RG-grade=2,grade,2172,2155,17,available,"{""grade"": ""2""}"
RG-grade=3,grade,1108,1108,0,available,"{""grade"": ""3""}"
RG-grade=4,grade,121,121,0,available,"{""grade"": ""4""}"
RG-major_type=english_major,major_type,4359,4340,19,available,"{""major_type"": ""english_major""}"
RG-major_type=non_english_major,major_type,591,490,101,available,"{""major_type"": ""non_english_major""}"
RG-prompt_id=ARG01,prompt,133,133,0,available,"{""prompt_id"": ""ARG01""}"
RG-prompt_id=ARG01-timed_status=timed,prompt+timed,103,103,0,available,"{""prompt_id"": ""ARG01"", ""timed_status"": ""timed""}"
RG-prompt_id=ARG01-timed_status=untimed,prompt+timed,30,30,0,available,"{""prompt_id"": ""ARG01"", ""timed_status"": ""untimed""}"
RG-prompt_id=ARG02,prompt,426,425,1,available,"{""prompt_id"": ""ARG02""}"
RG-prompt_id=ARG02-timed_status=timed,prompt+timed,118,118,0,available,"{""prompt_id"": ""ARG02"", ""timed_status"": ""timed""}"
RG-prompt_id=ARG02-timed_status=untimed,prompt+timed,308,307,1,available,"{""prompt_id"": ""ARG02"", ""timed_status"": ""untimed""}"
RG-prompt_id=ARG03,prompt,87,87,0,available,"{""prompt_id"": ""ARG03""}"
RG-prompt_id=ARG03-timed_status=timed,prompt+timed,44,44,0,available,"{""prompt_id"": ""ARG03"", ""timed_status"": ""timed""}"
RG-prompt_id=ARG03-timed_status=untimed,prompt+timed,43,43,0,available,"{""prompt_id"": ""ARG03"", ""timed_status"": ""untimed""}"
RG-prompt_id=ARG04,prompt,239,238,1,available,"{""prompt_id"": ""ARG04""}"
RG-prompt_id=ARG04-timed_status=timed,prompt+timed,2,2,0,unavailable,"{""prompt_id"": ""ARG04"", ""timed_status"": ""timed""}"
RG-prompt_id=ARG04-timed_status=untimed,prompt+timed,237,236,1,available,"{""prompt_id"": ""ARG04"", ""timed_status"": ""untimed""}"
RG-prompt_id=ARG05,prompt,192,192,0,available,"{""prompt_id"": ""ARG05""}"
RG-prompt_id=ARG05-timed_status=timed,prompt+timed,41,41,0,available,"{""prompt_id"": ""ARG05"", ""timed_status"": ""timed""}"
RG-prompt_id=ARG05-timed_status=untimed,prompt+timed,151,151,0,available,"{""prompt_id"": ""ARG05"", ""timed_status"": ""untimed""}"
RG-prompt_id=ARG06,prompt,127,127,0,available,"{""prompt_id"": ""ARG06""}"
RG-prompt_id=ARG06-timed_status=timed,prompt+timed,16,16,0,unavailable,"{""prompt_id"": ""ARG06"", ""timed_status"": ""timed""}"
RG-prompt_id=ARG06-timed_status=untimed,prompt+timed,111,111,0,available,"{""prompt_id"": ""ARG06"", ""timed_status"": ""untimed""}"
RG-prompt_id=ARG07,prompt,177,177,0,available,"{""prompt_id"": ""ARG07""}"
RG-prompt_id=ARG07-timed_status=timed,prompt+timed,67,67,0,available,"{""prompt_id"": ""ARG07"", ""timed_status"": ""timed""}"
RG-prompt_id=ARG07-timed_status=untimed,prompt+timed,110,110,0,available,"{""prompt_id"": ""ARG07"", ""timed_status"": ""untimed""}"
RG-prompt_id=ARG08,prompt,214,214,0,available,"{""prompt_id"": ""ARG08""}"
RG-prompt_id=ARG08-timed_status=timed,prompt+timed,69,69,0,available,"{""prompt_id"": ""ARG08"", ""timed_status"": ""timed""}"
RG-prompt_id=ARG08-timed_status=untimed,prompt+timed,145,145,0,available,"{""prompt_id"": ""ARG08"", ""timed_status"": ""untimed""}"
RG-prompt_id=ARG09,prompt,154,154,0,available,"{""prompt_id"": ""ARG09""}"
RG-prompt_id=ARG09-timed_status=timed,prompt+timed,145,145,0,available,"{""prompt_id"": ""ARG09"", ""timed_status"": ""timed""}"
RG-prompt_id=ARG09-timed_status=untimed,prompt+timed,9,9,0,unavailable,"{""prompt_id"": ""ARG09"", ""timed_status"": ""untimed""}"
RG-prompt_id=ARG10,prompt,256,256,0,available,"{""prompt_id"": ""ARG10""}"
RG-prompt_id=ARG10-timed_status=timed,prompt+timed,61,61,0,available,"{""prompt_id"": ""ARG10"", ""timed_status"": ""timed""}"
RG-prompt_id=ARG10-timed_status=untimed,prompt+timed,195,195,0,available,"{""prompt_id"": ""ARG10"", ""timed_status"": ""untimed""}"
RG-prompt_id=ARG11,prompt,156,156,0,available,"{""prompt_id"": ""ARG11""}"
