feature_id,family,feature,status,required_text_variant,required_tooling,expected_robustness,length_sensitivity,genre_sensitivity,known_validity_issue,potential_feedback_relevance
F-LEX-LENGTH,lexical,text length (tokens/words),READY,raw,whitespace/POS-aware tokenizer (spaCy pinned),high; deterministic,"core feature; corpus length distribution documented (median 242, p1 99, p95 407 tokens)",moderate (expository vs argumentative),token counting differs across tools (WordSmith vs spaCy); define one counter,high (length/development)
F-LEX-DIVERSITY,lexical,"lexical diversity (TTR/STTR, MTLD if valid)",PROMISING,raw,spaCy tokenizer + length normalization,medium; length-dependent,high (TTR strongly length-dependent; use STTR/type-token curves),moderate,TTR inflation/deflation with length; duplicate texts distort,high (repetition/range)
F-LEX-FREQ,lexical,lexical frequency/sophistication (wordlist-based),REQUIRES_VALIDATION,lemma,"frequency wordlists (e.g., BNC/COCA lists) + authorization",medium; list coverage for learner variants,moderate,moderate,no authorized frequency resource exists in the architecture (D11 open); REF-LD-SOPHISTICATION-PENDING,medium (sophistication) - blocked by resource authorization
F-LEX-PHRASEOLOGY,lexical,"phraseology (n-grams, collocations, lexical bundles)",PROMISING,raw/lemma,deterministic n-gram extraction; optional POS filtering via tagged,medium; needs same-prompt control,high (frequency thresholds),high (prompt/genre confounds),spurious bundles in learner data; reference-group comparability required,high (phrase use)
F-SYN-LENGTH,syntax,sentence length / T-unit proxies,READY,raw/tagged,sentence splitter (spaCy) on raw; punctuation tags on tagged,high on raw; punctuation artifacts in learner writing,n/a (is a length feature),moderate,learner punctuation errors affect sentence splitting,high (sentence/structure)
F-SYN-POS,syntax,"POS distribution (noun/verb/adjective ratios, nominalization)",READY,tagged (CLAWS4 historical) or spaCy retagging,CLAWS4 tags are historical; feature contract must define tag mapping,high if using existing TAGGED; validate CLAWS4 tagset coverage,low,moderate,"legacy annotation is historical, not canonical; CLAWS4 vs spaCy tagset mapping needed",high (grammar/structure proxies)
F-SYN-SUBORD,syntax,"subordination/clause structures (finite/nonfinite clause ratios, that-clauses, passives)",PROMISING,tagged (patterns) + raw (spaCy parse),regular-expression patterns over CLAWS4 tags (Colligator-style); spaCy dependency parse,medium; learner fragments complicate parsing,moderate,high (argumentation norms),parse errors on learner text must be recorded (fallback_used pattern); validation on subset,high (structure)
F-DISC-CONNECTIVES,discourse,connectives/cohesive devices (documented resource connectives_v0_6_1.json),READY,raw,existing connectives JSON resources in product repo,high; deterministic string matching,moderate (rate by text length),moderate,overlaps with lexical features; define one ownership,high (cohesion)
F-DISC-COHESION,discourse,"lexical cohesion (repetition, synonymy chains, reference chains)",REQUIRES_VALIDATION,lemma,deterministic coreference/semantic resources; NOT embeddings (D9 deferred),low-medium without validated resources,high,high,no validated cohesion measurement in architecture; D-L2-03 feasibility spike needed,high (organization/cohesion) but feasibility unclear
F-DISC-STANCE,discourse,stance/hedging/boosting/metadiscourse signals,PROMISING,raw/tagged,curated signal lists (deterministic) + POS context,medium; list coverage,moderate,high (argumentative vs expository),signal lists need validation against argument structure,high (argument-related discourse)
